OrderID,Date,Customer,Region,Product,Category,Quantity,UnitPrice,Sales,Order Year,Order Month,High Value Order,Sales Category,Total Price
1001,2025-11-26,Customer_28,North,Chair,Furniture,6,90,540,2025,November,No,Medium,540
1002,2025-09-05,Customer_54,West,Desk,Furniture,5,150,750,2025,September,No,Medium,750
1003,2025-02-23,Customer_89,South,Printer,Electronics,4,200,800,2025,February,No,Medium,800
1004,2025-11-25,Customer_36,South,Printer,Electronics,2,200,400,2025,November,No,Low,400
1005,2025-05-09,Customer_118,North,Notebook,Stationery,6,5,30,2025,May,No,Low,30
1006,2025-10-07,Customer_126,West,Printer,Electronics,4,200,800,2025,October,No,Medium,800
1007,2025-04-19,Customer_133,East,Mouse,Electronics,10,20,200,2025,April,No,Low,200
1008,2025-02-06,Customer_80,North,Laptop,Electronics,3,800,2400,2025,February,Yes,High,2400
1009,2025-01-16,Customer_87,North,Laptop,Electronics,6,800,4800,2025,January,Yes,High,4800
1010,2025-09-14,Customer_30,South,Printer,Electronics,10,200,2000,2025,September,Yes,High,2000
1011,2025-01-22,Customer_57,South,Laptop,Electronics,6,800,4800,2025,January,Yes,High,4800
1012,2025-07-01,Customer_19,South,Mouse,Electronics,9,20,180,2025,July,No,Low,180
1013,2025-08-04,Customer_73,East,Desk,Furniture,6,150,900,2025,August,No,Medium,900
1014,2025-12-28,Customer_129,North,Mouse,Electronics,6,20,120,2025,December,No,Low,120
1015,2025-12-31,Customer_35,West,Mouse,Electronics,9,20,180,2025,December,No,Low,180
1016,2025-01-25,Customer_121,South,Laptop,Electronics,3,800,2400,2025,January,Yes,High,2400
1017,2025-01-04,Customer_94,West,Laptop,Electronics,5,800,4000,2025,January,Yes,High,4000
1018,2025-12-09,Customer_116,East,Chair,Furniture,9,90,810,2025,December,No,Medium,810
1019,2025-09-20,Customer_2,East,Notebook,Stationery,6,5,30,2025,September,No,Low,30
1020,2025-05-17,Customer_107,South,Printer,Electronics,4,200,800,2025,May,No,Medium,800
1021,2025-05-29,Customer_67,North,Laptop,Electronics,9,800,7200,2025,May,Yes,High,7200
1022,2025-12-10,Customer_41,South,Desk,Furniture,1,150,150,2025,December,No,Low,150
